product_name, rating, specs
Samsung Galaxy S7 (Black Onyx| 32 GB),4.4,4 GB RAM | 32 GB ROM | Expandable Upto 200 GB12.95 cm (5.1 inch) Quad HD Display12MP Rear Camera | 5MP Front Camera3000 mAh Li-Ion BatteryExynos 8890 Octa Core 2.3GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy C7 Pro (Gold| 64 GB),4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB14.48 cm (5.7 inch) Full HD Display16MP Rear Camera | 16MP Front Camera3300 mAh BatteryQualcomm Snapdragon Octa-Core 2.2GHz Processor1 YEAR MANUFACTURER WARRANTY
Samsung Galaxy A8 Plus (Gold| 64 GB),4.2,6 GB RAM | 64 GB ROM |15.24 cm (6 inch) Display16MP Rear Camera3500 mAh Battery1 Year Warranty
OPPO F3 Plus (Black| 64 GB),4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.24 cm (6 inch) Full HD Display16MP Rear Camera | 16MP + 8MP Dual Front Camera4000 mAh BatteryQualcomm MSM8976 Pro Snapdragon 653 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V11 Pro (Dazzling Gold| 64 GB),4.5,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.28 cm (6.41 inch) Full HD+ Display12MP + 5MP | 25MP Front Camera3400 mAh Li-ion Battery2.0 GHz Qualcomm Snapdragon 660 AIE ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Nokia 8.1 (Iron| 128 GB),4.3,6 GB RAM | 128 GB ROM |15.7 cm (6.18 inch) Full HD+ Display12MP + 13MP | 20MP Front Camera3500 mAh BatteryQualcomm Snapdragon 710 Processor1 Year Manufacturer
Samsung Galaxy A9 (Caviar Black| 128 GB),4.3,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) Full HD+ Display24MP + 5MP + 10MP + 8MP | 24MP Front Camera3800 mAh Lithium-ion BatteryQualcomm Snapdragon 660 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
CAT S31 (Black| 16 GB),none,2 GB RAM | 16 GB ROM |11.94 cm (4.7 inch) Display2MP Rear Camera4000 mAh Batteryone year
OnePlus One Plus 5 (Black| 128 GB),2.5,8 GB RAM | 128 GB ROM |13.97 cm (5.5 inch) Display20MP Rear Camera3300 mAh Battery1 Year Warranty
Vivo V9 (Pearl Black (Golden Line)| 64 GB),4.5,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display16MP + 5MP | 24MP Front Camera3260 mAh Li-ion BatteryQualcomm Snapdragon 626 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
